,Accession,Host,Isolation Host,staining
594,OP137232,Shigella,Shigella flexneri,negative
597,OQ818670,Salmonella,Salmonella enterica,positive
598,OQ730212,Acinetobacter,Acinetobacter baumannii,negative
599,NC_005859,Escherichia,Escherichia coli,negative
600,OP589283,Shewanella,Shewanella oneidensis,negative
601,OP039102,Staphylococcus,Staphylococcus aureus,positive
602,MW882934,Cronobacter,Cronobacter sakazakii,negative
603,MW882933,Cronobacter,Cronobacter sakazakii,negative
604,MT135025,Vibrio,Vibrio parahaemolyticus,negative
605,AP014889,Vibrio,Vibrio harveyi,negative
606,NC_070779,Salmonella,Salmonella enterica,positive
607,NC_003327,Vibrio,Vibrio cholerae,negative
608,OQ411014,Escherichia,Escherichia coli,negative
609,NC_055052,Ralstonia,Ralstonia solanacearum,negative
610,NC_027399,Klebsiella,Klebsiella pneumoniae,negative
611,NC_025440,Listeria,Listeria monocytogenes,positive
612,CP124119,Liberibacter,Candidatus Liberibacter,negative
613,OP947227,Ralstonia,Ralstonia solanacearum,negative
614,OP947226,Ralstonia,Ralstonia solanacearum,negative
615,OP947225,Ralstonia,Ralstonia solanacearum,negative
616,NC_075033,Escherichia,Escherichia coli,negative
617,NC_075032,Escherichia,Escherichia coli,negative
618,NC_075031,Escherichia,Escherichia coli,negative
620,NC_074762,Xanthomonas,Xanthomonas axonopodis,negative
621,NC_055055,Xanthomonas,Xanthomonas oryzae,negative
622,NC_055054,Ralstonia,Ralstonia solanacearum,negative
623,NC_055053,Ralstonia,Ralstonia solanacearum,negative
624,NC_055051,Vibrio,Vibrio cholerae,negative
625,NC_047872,Listeria,Listeria monocytogenes,positive
626,NC_047871,Listeria,Listeria monocytogenes,positive
627,NC_047853,Enterococcus,Enterococcus faecalis,positive
628,NC_047778,Pectobacterium,Pectobacterium carotovorum,negative
629,NC_047745,Listeria,Listeria monocytogenes,positive
633,NC_047732,Staphylococcus,Staphylococcus aureus,positive
634,NC_047731,Staphylococcus,Staphylococcus aureus,positive
635,NC_047730,Staphylococcus,Staphylococcus aureus,positive
636,NC_047729,Staphylococcus,Staphylococcus aureus,positive
637,NC_047728,Staphylococcus,Staphylococcus aureus,positive
638,NC_047721,Staphylococcus,Staphylococcus aureus,positive
639,NC_047720,Staphylococcus,Staphylococcus aureus,positive
640,NC_025417,Staphylococcus,Staphylococcus xylosus,positive
641,NC_019548,Ralstonia,Ralstonia solanacearum,negative
642,NC_012757,Vibrio,Vibrio cholerae,negative
643,NC_005949,Vibrio,Vibrio parahaemolyticus,negative
644,NC_003311,Vibrio,Vibrio cholerae,negative
645,NC_002363,Vibrio,Vibrio parahaemolyticus,negative
646,ON454249,Enterobacter,Enterobacter cloacae,negative
647,NC_074756,Serratia,Serratia marcescens,negative
657,OP381185,Megaira,Candidatus Megaira,negative
659,OQ808964,Fusobacterium,Fusobacterium nucleatum,negative
661,OQ718158,Escherichia,Escherichia coli,negative
662,OQ680630,Vibrio,Vibrio parahaemolyticus,negative
663,OQ680521,Aeromonas,Aeromonas hydrophila,negative
664,OQ626344,Escherichia,Escherichia coli,negative
665,OQ632216,Salmonella,Salmonella enterica,positive
667,OQ703770,Escherichia,Escherichia coli,negative
668,OQ446488,Xanthomonas,Xanthomonas arboricola,negative
669,OQ446487,Xanthomonas,Xanthomonas arboricola,negative
670,OQ446486,Xanthomonas,Xanthomonas arboricola,negative
671,OQ446485,Xanthomonas,Xanthomonas arboricola,negative
672,OQ446484,Xanthomonas,Xanthomonas arboricola,negative
673,OQ446483,Xanthomonas,Xanthomonas arboricola,negative
674,OQ578995,Staphylococcus,Staphylococcus aureus,positive
675,OQ578994,Staphylococcus,Staphylococcus aureus,positive
676,OQ578993,Staphylococcus,Staphylococcus aureus,positive
778,OQ623150,Staphylococcus,Staphylococcus epidermidis,positive
779,OQ594355,Aeromonas,Aeromonas hydrophila,negative
780,OM868082,Synechococcus,Synechococcus sp.,negative
781,OM868081,Synechococcus,Synechococcus sp.,negative
782,OM868080,Synechococcus,Synechococcus sp.,negative
783,OM868079,Synechococcus,Synechococcus sp.,negative
784,OM868077,Synechococcus,Synechococcus sp.,negative
785,OM868076,Synechococcus,Synechococcus sp.,negative
786,OM868075,Hafnia,Hafnia paralvei,negative
787,OK428535,Escherichia,Escherichia coli,negative
788,MZ041098,Staphylococcus,Staphylococcus aureus,positive
798,NC_074651,Haloterrigena,Haloterrigena jeotgali,negative
800,NC_074642,Methanoculleus,Methanoculleus bourgensis,negative
808,NC_073760,Vibrio,Vibrio alginolyticus,negative
809,NC_073759,Vibrio,Vibrio alginolyticus,negative
810,NC_073758,Vibrio,Vibrio anguillarum,negative
811,NC_073757,Ralstonia,Ralstonia solanacearum,negative
813,NC_073755,Xanthomonas,Xanthomonas campestris,negative
814,NC_073754,Xanthomonas,Xanthomonas campestris,negative
815,NC_073752,Xanthomonas,Xanthomonas citri,negative
816,NC_073751,Erwinia,Erwinia amylovora,negative
817,NC_073750,Vibrio,Vibrio cholerae,negative
818,NC_073749,Vibrio,Vibrio cholerae,negative
819,NC_073748,Vibrio,Vibrio cholerae,negative
820,NC_073747,Salmonella,Salmonella enterica,positive
821,OQ674082,Vibrio,Vibrio harveyi,negative
822,MN161573,Salmonella,Salmonella sp.,positive
823,NC_042063,Salmonella,Salmonella enterica,positive
824,NC_042062,Salmonella,Salmonella enterica,positive
825,NC_041925,Proteus,Proteus mirabilis,negative
826,MK580972,Stenotrophomonas,Stenotrophomonas maltophilia,negative
827,NC_021317,Salmonella,Salmonella gallinarum,positive
828,OQ808965,Fusobacterium,Fusobacterium nucleatum,negative
829,OQ808963,Fusobacterium,Fusobacterium nucleatum,negative
830,OQ623132,Enterococcus,Enterococcus gallinarum,positive
831,OQ067112,Riemerella,Riemerella anatipestifer,negative
844,OQ622097,Vibrio,Vibrio campbellii,negative
845,OQ622096,Vibrio,Vibrio vulnificus,negative
846,OQ622095,Vibrio,Vibrio owensii,negative
847,OQ622094,Aeromonas,Aeromonas caviae,negative
849,OQ622092,Xanthomonas,Xanthomonas citri,negative
853,CP063417,Parageobacillus,Parageobacillus thermoglucosidasius,positive
854,LC710219,Escherichia,Escherichia coli,negative
855,LC710218,Escherichia,Escherichia coli,negative
856,LC710217,Escherichia,Escherichia coli,negative
860,OQ703618,Escherichia,Escherichia coli,negative
861,OQ831052,Enterococcus,Enterococcus faecalis,positive
862,OQ680481,Salmonella,Salmonella enterica,positive
863,OQ680480,Salmonella,Salmonella enterica,positive
864,OQ680479,Salmonella,Salmonella enterica,positive
865,OQ680478,Salmonella,Salmonella enterica,positive
889,NC_054898,Vibrio,Vibrio cholerae,negative
892,NC_073478,Bifidobacterium,Bifidobacterium dentium,positive
893,NC_073477,Curtobacterium,Curtobacterium sp.,positive
894,NC_073476,Curtobacterium,Curtobacterium sp.,positive
895,NC_073475,Rhodococcus,Rhodococcus opacus,positive
896,NC_073325,Escherichia,Escherichia coli,negative
897,NC_073324,Escherichia,Escherichia coli,negative
898,NC_073323,Escherichia,Escherichia coli,negative
899,NC_073320,Escherichia,Escherichia coli,negative
900,NC_073319,Escherichia,Escherichia coli,negative
901,NC_073318,Escherichia,Escherichia coli,negative
902,NC_073317,Escherichia,Escherichia coli,negative
903,NC_073316,Escherichia,Escherichia coli,negative
904,NC_073315,Escherichia,Escherichia coli,negative
905,NC_073314,Escherichia,Escherichia coli,negative
906,OP999027,Sulfolobus,Sulfolobus tengchongensis,negative
907,OP999021,Sulfolobus,Sulfolobus tengchongensis,negative
908,OP999020,Sulfolobus,Sulfolobus tengchongensis,negative
911,OQ628262,Aeromonas,Aeromonas salmonicida,negative
912,OQ515481,Campylobacter,Campylobacter jejuni,negative
913,OP880302,Yersinia,Yersinia pestis,negative
915,OQ674210,Burkholderia,Burkholderia contaminans,negative
916,OQ674106,Salmonella,Salmonella enterica,positive
917,OQ674105,Salmonella,Salmonella enterica,positive
918,OQ674104,Salmonella,Salmonella enterica,positive
919,OQ674103,Salmonella,Salmonella enterica,positive
920,NC_071001,Providencia,Providencia stuartii,negative
921,NC_071000,Providencia,Providencia stuartii,negative
923,NC_070951,Stenotrophomonas,Stenotrophomonas maltophilia,negative
924,OM284015,Elizabethkingia,Elizabethkingia anophelis,negative
925,OL770074,Escherichia,Escherichia coli,negative
932,OP880301,Yersinia,Yersinia pestis,negative
933,OQ709411,Myxococcus,Myxococcus xanthus,negative
934,OQ466432,Escherichia,Escherichia sp.,negative
935,OQ376858,Paracoccus,Paracoccus sp.,negative
936,OQ376857,Paracoccus,Paracoccus sp.,negative
946,OQ129426,Staphylococcus,Staphylococcus aureus,positive
947,OQ129425,Staphylococcus,Staphylococcus aureus,positive
949,OQ571799,Enterobacter,Enterobacter cloacae,negative
950,OQ589852,Escherichia,Escherichia coli,negative
951,OQ442786,Escherichia,Escherichia coli,negative
952,NC_069146,Salmonella,Salmonella enterica,positive
953,OQ059336,Psychrobacter,Psychrobacter sp.,negative
954,NC_062748,Olleya,Olleya sp.,negative
956,NC_073219,Salmonella,Salmonella enterica,positive
957,NC_073218,Salmonella,Salmonella enterica,positive
958,NC_073217,Salmonella,Salmonella enterica,positive
959,NC_073216,Salmonella,Salmonella enterica,positive
960,NC_073215,Salmonella,Salmonella enterica,positive
961,NC_073214,Salmonella,Salmonella enterica,positive
962,NC_073213,Salmonella,Salmonella enterica,positive
963,NC_073212,Salmonella,Salmonella enterica,positive
964,NC_073211,Salmonella,Salmonella enterica,positive
965,NC_073210,Salmonella,Salmonella enterica,positive
966,NC_073209,Salmonella,Salmonella enterica,positive
967,NC_073208,Salmonella,Salmonella enterica,positive
968,NC_073207,Salmonella,Salmonella sp.,positive
969,NC_073206,Salmonella,Salmonella sp.,positive
970,NC_073205,Salmonella,Salmonella enterica,positive
971,NC_073204,Salmonella,Salmonella enterica,positive
972,NC_073203,Salmonella,Salmonella enterica,positive
973,NC_073202,Salmonella,Salmonella enterica,positive
974,NC_073201,Salmonella,Salmonella enterica,positive
975,NC_073200,Salmonella,Salmonella enterica,positive
976,NC_073199,Salmonella,Salmonella enterica,positive
977,NC_073198,Salmonella,Salmonella enterica,positive
978,NC_073197,Salmonella,Salmonella enterica,positive
979,NC_073196,Salmonella,Salmonella enterica,positive
980,NC_073195,Salmonella,Salmonella enterica,positive
981,NC_073194,Salmonella,Salmonella sp.,positive
982,NC_073193,Salmonella,Salmonella sp.,positive
983,NC_073192,Salmonella,Salmonella enterica,positive
984,NC_073191,Salmonella,Salmonella sp.,positive
985,NC_073190,Salmonella,Salmonella enterica,positive
986,NC_073189,Salmonella,Salmonella enterica,positive
987,NC_073188,Salmonella,Salmonella enterica,positive
988,NC_073187,Salmonella,Salmonella enterica,positive
989,NC_073185,Salmonella,Salmonella enterica,positive
990,NC_073184,Salmonella,Salmonella sp.,positive
991,NC_073183,Salmonella,Salmonella enterica,positive
992,NC_073182,Salmonella,Salmonella enterica,positive
993,NC_073181,Salmonella,Salmonella enterica,positive
994,NC_073180,Salmonella,Salmonella enterica,positive
995,NC_073179,Salmonella,Salmonella enterica,positive
996,NC_073178,Salmonella,Salmonella enterica,positive
997,NC_073177,Salmonella,Salmonella enterica,positive
998,NC_073176,Salmonella,Salmonella enterica,positive
999,NC_073175,Salmonella,Salmonella enterica,positive
1000,NC_073174,Salmonella,Salmonella enterica,positive
1001,NC_073173,Salmonella,Salmonella enterica,positive
1002,NC_073172,Salmonella,Salmonella enterica,positive
1003,NC_073171,Salmonella,Salmonella enterica,positive
1004,NC_073170,Salmonella,Salmonella enterica,positive
1005,NC_073169,Salmonella,Salmonella sp.,positive
1007,NC_073089,Escherichia,Escherichia coli,negative
1008,NC_073088,Escherichia,Escherichia sp.,negative
1009,NC_073086,Escherichia,Escherichia coli,negative
1010,NC_073085,Escherichia,Escherichia coli,negative
1011,NC_073084,Escherichia,Escherichia coli,negative
1012,NC_073083,Escherichia,Escherichia coli,negative
1013,NC_073080,Escherichia,Escherichia coli,negative
1014,NC_073078,Escherichia,Escherichia coli,negative
1015,NC_073076,Escherichia,Escherichia coli,negative
1016,NC_073075,Escherichia,Escherichia coli,negative
1017,NC_073074,Escherichia,Escherichia coli,negative
1018,NC_073073,Escherichia,Escherichia coli,negative
1019,NC_073072,Escherichia,Escherichia coli,negative
1020,NC_073070,Escherichia,Escherichia coli,negative
1021,NC_073069,Escherichia,Escherichia sp.,negative
1022,NC_073067,Escherichia,Escherichia coli,negative
1023,NC_073066,Escherichia,Escherichia coli,negative
1024,NC_073065,Escherichia,Escherichia coli,negative
1025,NC_073063,Escherichia,Escherichia coli,negative
1026,NC_073062,Escherichia,Escherichia coli,negative
1027,NC_073061,Escherichia,Escherichia coli,negative
1028,NC_073059,Escherichia,Escherichia coli,negative
1029,NC_073057,Escherichia,Escherichia coli,negative
1030,NC_073056,Escherichia,Escherichia coli,negative
1031,NC_073051,Escherichia,Escherichia coli,negative
1032,OP946502,Acinetobacter,Acinetobacter baumannii,negative
1033,OP946501,Acinetobacter,Acinetobacter baumannii,negative
1044,NC_073036,Xanthomonas,Xanthomonas arboricola,negative
1045,NC_073035,Xanthomonas,Xanthomonas arboricola,negative
1046,NC_073034,Stenotrophomonas,Stenotrophomonas maltophilia,negative
1047,NC_073033,Xanthomonas,Xanthomonas oryzae,negative
1048,NC_073032,Xanthomonas,Xanthomonas sp.,negative
1049,NC_073031,Janthinobacterium,Janthinobacterium lividum,negative
1050,NC_073028,Stenotrophomonas,Stenotrophomonas maltophilia,negative
1051,NC_073027,Stenotrophomonas,Stenotrophomonas maltophilia,negative
1052,NC_073026,Xanthomonas,Xanthomonas arboricola,negative
1056,NC_073022,Hafnia,Hafnia paralvei,negative
1057,NC_072811,Escherichia,Escherichia coli,negative
1059,OP620756,Klebsiella,Klebsiella pneumoniae,negative
1060,OP620755,Klebsiella,Klebsiella pneumoniae,negative
1061,OP620754,Klebsiella,Klebsiella pneumoniae,negative
1063,OQ599310,Escherichia,Escherichia coli,negative
1064,OQ599309,Escherichia,Escherichia coli,negative
1065,OQ557157,Staphylococcus,Staphylococcus aureus,positive
1066,OQ594354,Synechococcus,Synechococcus sp.,negative
1067,OQ503491,Acinetobacter,Acinetobacter baumannii,negative
1068,OQ469755,Salmonella,Salmonella sp.,positive
1069,NC_072504,Stenotrophomonas,Stenotrophomonas maltophilia,negative
1072,NC_072499,Xanthomonas,Xanthomonas arboricola,negative
1074,OQ579032,Klebsiella,Klebsiella variicola,negative
1075,OQ579031,Klebsiella,Klebsiella oxytoca,negative
1076,OQ579030,Klebsiella,Klebsiella oxytoca,negative
1077,OQ579029,Klebsiella,Klebsiella quasipneumoniae,negative
1078,OQ579028,Klebsiella,Klebsiella michiganensis,negative
1079,OQ579027,Klebsiella,Klebsiella michiganensis,negative
1080,OQ579026,Klebsiella,Klebsiella michiganensis,negative
1081,OQ579025,Klebsiella,Klebsiella michiganensis,negative
1082,OQ579024,Klebsiella,Klebsiella michiganensis,negative
1083,OQ579023,Klebsiella,Klebsiella michiganensis,negative
1084,OQ355704,Staphylococcus,Staphylococcus epidermidis,positive
1085,OQ355703,Staphylococcus,Staphylococcus epidermidis,positive
1086,OQ355702,Staphylococcus,Staphylococcus epidermidis,positive
1087,OQ355701,Staphylococcus,Staphylococcus epidermidis,positive
1088,OQ355700,Staphylococcus,Staphylococcus epidermidis,positive
1089,OQ355699,Staphylococcus,Staphylococcus epidermidis,positive
1090,OQ031496,Staphylococcus,Staphylococcus sp.,positive
1091,OQ031495,Escherichia,Escherichia sp.,negative
1092,OQ031494,Staphylococcus,Staphylococcus sp.,positive
1094,OQ031492,Escherichia,Escherichia sp.,negative
1095,OQ031491,Acinetobacter,Acinetobacter sp.,negative
1096,OQ240259,Latilactobacillus,Latilactobacillus curvatus,positive
1097,OQ240258,Latilactobacillus,Latilactobacillus curvatus,positive
1098,OQ240257,Latilactobacillus,Latilactobacillus curvatus,positive
1099,OQ240256,Latilactobacillus,Latilactobacillus curvatus,positive
1100,OQ515479,Klebsiella,Klebsiella pneumoniae,negative
1101,OQ471969,Acinetobacter,Acinetobacter baumannii,negative
1102,OQ446694,Escherichia,Escherichia coli,negative
1103,OQ435241,Xanthomonas,Xanthomonas arboricola,negative
1106,OQ594353,Salmonella,Salmonella enterica,positive
1107,OQ594352,Salmonella,Salmonella enterica,positive
1108,OQ579022,Ralstonia,Ralstonia solanacearum,negative
1109,ON513432,Staphylococcus,Staphylococcus aureus,positive
1110,NC_071149,Klebsiella,Klebsiella pneumoniae,negative
1113,OP481875,Klebsiella,Klebsiella pneumoniae,negative
1114,OP495736,Klebsiella,Klebsiella michiganensis,negative
1115,OP542242,Thermus,Thermus thermophilus,negative
1116,OP373729,Klebsiella,Klebsiella pneumoniae,negative
1117,ON113334,Enterococcus,Enterococcus faecalis,positive
1118,OK331996,Escherichia,Escherichia coli,negative
1119,MZ616364,Erwinia,Erwinia amylovora,negative
1123,OQ427096,Xanthomonas,Xanthomonas campestris,negative
1125,OQ411034,Cutibacterium,Cutibacterium acnes,positive
1126,OQ404738,Klebsiella,Klebsiella pneumoniae,negative
1127,OQ420740,Escherichia,Escherichia coli,negative
1129,OQ389126,Ralstonia,Ralstonia pseudosolanacearum,negative
1130,OP793478,Salmonella,Salmonella enterica,positive
1131,ON042477,Vibrio,Vibrio alginolyticus,negative
1132,OK357457,Salmonella,Salmonella sp.,positive
1133,MN496308,Sulfolobus,Sulfolobus sp.,negative
1134,MN496307,Sulfolobus,Sulfolobus sp.,negative
1135,MN496306,Sulfolobus,Sulfolobus sp.,negative
1136,MN496305,Sulfolobus,Sulfolobus sp.,negative
1137,NC_005265,Sulfolobus,Sulfolobus,negative
1138,ON004963,Klebsiella,Klebsiella sp.,negative
1139,OQ055246,Xanthomonas,Xanthomonas oryzae,negative
1140,OL770073,Escherichia,Escherichia coli,negative
1141,MZ333457,Enterococcus,Enterococcus sp.,positive
1142,OQ067376,Escherichia,Escherichia coli,negative
1143,OQ067375,Escherichia,Escherichia coli,negative
1144,OQ067374,Escherichia,Escherichia coli,negative
1145,OQ067373,Escherichia,Escherichia coli,negative
1146,OQ414636,Pelagibacter,Candidadtus Pelagibacter,negative
1147,OQ414635,Pelagibacter,Candidadtus Pelagibacter,negative
1148,OQ401624,Roseobacter,Roseobacter sp.,negative
